,V0220,V0231,V02322,V02323,V02324,V02325
0,,,,,,
1,,,,,,
2,2.0,3.0,4.0,,,
3,2.0,3.0,4.0,,,
4,2.0,1.0,4.0,,,
5,2.0,1.0,4.0,,,
6,2.0,3.0,4.0,,,
7,2.0,1.0,2.0,2.0,2.0,4.0
8,2.0,1.0,2.0,2.0,2.0,4.0
9,2.0,3.0,2.0,4.0,2.0,4.0
10,2.0,3.0,4.0,,,
11,2.0,3.0,4.0,,,
12,2.0,3.0,4.0,,,
13,,,,,,
14,2.0,3.0,4.0,,,
15,2.0,3.0,4.0,,,
16,2.0,1.0,4.0,,,
17,2.0,1.0,2.0,2.0,4.0,4.0
18,2.0,3.0,4.0,,,
19,2.0,3.0,4.0,,,
20,2.0,3.0,4.0,,,
21,2.0,1.0,4.0,,,
22,2.0,1.0,2.0,2.0,4.0,4.0
23,,,,,,
24,2.0,1.0,2.0,2.0,4.0,4.0
25,2.0,3.0,4.0,,,
26,4.0,3.0,4.0,,,
27,,,,,,
28,2.0,1.0,2.0,2.0,4.0,4.0
29,2.0,1.0,2.0,2.0,4.0,2.0
30,2.0,1.0,4.0,,,
31,2.0,1.0,2.0,2.0,2.0,4.0
32,2.0,1.0,2.0,2.0,4.0,4.0
33,2.0,1.0,4.0,,,
34,2.0,1.0,2.0,2.0,2.0,2.0
35,2.0,3.0,4.0,,,
36,2.0,1.0,2.0,2.0,2.0,4.0
37,,,,,,
38,2.0,3.0,4.0,,,
39,,,,,,
40,2.0,1.0,2.0,2.0,4.0,4.0
41,2.0,3.0,4.0,,,
42,2.0,3.0,4.0,,,
43,2.0,1.0,2.0,2.0,4.0,4.0
44,2.0,3.0,4.0,,,
45,2.0,3.0,4.0,,,
46,2.0,1.0,2.0,2.0,4.0,2.0
47,2.0,1.0,2.0,2.0,4.0,4.0
48,2.0,3.0,4.0,,,
49,4.0,3.0,4.0,,,
50,2.0,3.0,4.0,,,
51,2.0,3.0,2.0,4.0,2.0,4.0
52,2.0,3.0,4.0,,,
53,2.0,1.0,2.0,2.0,2.0,4.0
54,2.0,3.0,4.0,,,
55,,,,,,
56,2.0,3.0,4.0,,,
57,2.0,3.0,4.0,,,
58,,,,,,
59,2.0,1.0,2.0,2.0,2.0,4.0
60,4.0,3.0,4.0,,,
61,2.0,1.0,4.0,,,
62,,,,,,
63,2.0,3.0,4.0,,,
64,,,,,,
65,2.0,3.0,4.0,,,
66,2.0,1.0,2.0,2.0,2.0,4.0
67,2.0,3.0,4.0,,,
68,,,,,,
69,,,,,,
70,2.0,3.0,4.0,,,
71,2.0,3.0,4.0,,,
72,,,,,,
73,2.0,3.0,4.0,,,
74,2.0,3.0,4.0,,,
75,2.0,3.0,4.0,,,
76,,,,,,
77,2.0,1.0,2.0,2.0,2.0,4.0
78,2.0,3.0,4.0,,,
79,,,,,,
